t_inicial,t_final,duracion
0.0347222222222222,0.588888888888889,13:18
0.981944444444444,0.299305555555556,7:37
0.0159722222222222,0.657638888888889,15:24
0.168055555555556,0.727083333333333,13:25
0.266666666666667,0.607638888888889,8:11
0.159722222222222,0.234027777777778,1:47
0.0611111111111111,0.586805555555556,12:37
0.636805555555556,0.754861111111111,2:50
0.146527777777778,0.574305555555556,10:16
0,0.499305555555556,11:59
0.346527777777778,0.545138888888889,4:46
0.510416666666667,0.651388888888889,3:23
0.81875,0.871527777777778,1:16
0.361805555555556,0.521527777777778,3:50
0.916666666666667,0.999305555555556,1:59
0,0.55,13:12
0.241666666666667,0.384027777777778,3:25
0.749305555555556,0.583333333333333,20:01
0,0.499305555555556,11:59
0,0.499305555555556,11:59
0,0.499305555555556,11:59
0.582638888888889,0.924305555555556,8:12
0.501388888888889,0.586111111111111,2:02
0.797222222222222,0.926388888888889,3:06
0.243055555555556,0.586111111111111,8:14
0.955555555555556,0.685416666666667,17:31
0.170833333333333,0.647916666666667,11:27
0.234722222222222,0.80625,13:43
0.976388888888889,0.216666666666667,5:46
0.578472222222222,0.627083333333333,1:10
0.00138888888888889,0.586805555555556,14:03
0.681944444444445,0.9125,5:32
0.620138888888889,0.848611111111111,5:29
0.574305555555556,0.747222222222222,4:09
0.766666666666667,0.823611111111111,1:22
0.377083333333333,0.909722222222222,12:47
0.790972222222222,0.769444444444445,23:29
0.596527777777778,0.8,4:53
0.548611111111111,0.831944444444445,6:48
0.6,0.584722222222222,23:38
0.115277777777778,0.422916666666667,7:23
0.431944444444444,0.540972222222222,2:37
0.831944444444445,0.999305555555556,4:01
0,0.916666666666667,22:00
0.589583333333333,0.0263888888888889,10:29
0.0465277777777778,0.0263888888888889,23:31
0.570138888888889,0.943055555555556,8:57
0.619444444444445,0.248611111111111,15:06
0.296527777777778,0.329861111111111,0:48
0.477777777777778,0.470833333333333,23:50
0.5875,0.794444444444444,4:58
0.604861111111111,0.809027777777778,4:54
0.949305555555556,0.863888888888889,21:57
0.613888888888889,0.916666666666667,7:16
0.679166666666667,0.958333333333333,6:42
0.621527777777778,0.768055555555556,3:31
0.566666666666667,0.929166666666667,8:42
0.948611111111111,0.0972222222222222,3:34
0.568055555555556,0.84375,6:37
0.189583333333333,0.234722222222222,1:05
0.541666666666667,0.746527777777778,4:55
0.357638888888889,0.875,12:25
0.382638888888889,0.829166666666667,10:43
0.371527777777778,0.842361111111111,11:18
0.517361111111111,0.838888888888889,7:43
0.120138888888889,0.565972222222222,10:42
0.0791666666666667,0.581944444444445,12:04
0.0868055555555556,0.179861111111111,2:14
0.386805555555556,0.922222222222222,12:51
0.0770833333333333,0.302777777777778,5:25
0.0944444444444444,0.861805555555556,18:25
0.734722222222222,0.916666666666667,4:22
0.0631944444444444,0.809722222222222,17:55
0.0673611111111111,0.584027777777778,12:24
0.488194444444444,0.718055555555556,5:31
0.838888888888889,0.9,1:28
0,0.988194444444445,23:43
0.2375,0.6875,10:48
0.132638888888889,0.999305555555556,20:48
0,0.590972222222222,14:11
0.948611111111111,0.0979166666666667,3:35
0,0.759027777777778,18:13
0.75625,0.175694444444444,10:04
0.677083333333333,0.0909722222222222,9:56
0.861111111111111,0.636111111111111,18:36
0.0173611111111111,0.730555555555556,17:07
0.147222222222222,0.629166666666667,11:34
0.53125,0.590972222222222,1:26
0.291666666666667,0.563888888888889,6:32
0.231944444444444,0.565277777777778,8:00
0.241666666666667,0.572222222222222,7:56
0.305555555555556,0.5625,6:10
0.844444444444444,0.0902777777777778,5:54
0.770833333333333,0.815972222222222,1:05
0.770833333333333,0.815972222222222,1:05
0.774305555555556,0.971527777777778,4:44
0.779166666666667,0.130555555555556,8:26
0.772222222222222,0.0305555555555556,6:12
0.784027777777778,0.95625,4:08
0.785416666666667,0.0402777777777778,6:07
0.170833333333333,0.636111111111111,11:10
0.820138888888889,0.877777777777778,1:23
0.780555555555556,0.0104166666666667,5:31
0.817361111111111,0.993055555555556,4:13
0.878472222222222,0.154166666666667,6:37
0.768055555555556,0.990972222222222,5:21
0.756944444444445,0.298611111111111,13:00
